,Title,Director,Cast,Genre,year
0,Balika Badhu a.k.a. Baby Bride,P. T. Shaida (Tulsidutt Shaida),"Miss Ali, Tarak Bagcha, Pandit Tulsidutt Shaida",Social,1920
1,Daksha Yagna a.k.a. Sati Parvati,Vishnupant Divekar,"Khalil, Prabha, Vaidya",Mythology,1920
2,Jalandhar Vrinda a.k.a. Sati Tulsi Vrinda,G. V. Sane,,Mythology,1920
3,Kansa Vadha a.k.a. End Of The Tyrant King,G. V. Sane,,Mythology,1920
4,Katorabhar Khoon a.k.a.The Stinger Stung a.k.a. Zaheri Saanp,S. N. Patankar,"Trymbakrao Pradhan, Tara Koregaonkar, Baba Vyas, K. G. Gokhale",Social,1920
5,Krishna Sudama a.k.a. Shri Krishna Sudama,Vishnupant Divekar,"Khalil, Vaidya, Prabha, Kesarbai, Moti, Sakina, Ali Miya",Mythology,1920
6,Lava Kusha,R. Nataraja Mudaliar,,Mythology,1920
7,Mahabharata,Rustomji Dhotiwala,,,1920
8,Mrichhakatik,Suchet Singh,Kanjibhai Rathod,,1920
9,Narasinha Avtar,Shree Nath Patankar,,Mythology,1920
10,Narsinh Mehta,"Suchet Singh, Shukle",Kanjibhai Rathod,Devotional,1920
11,Ram Janma,G. V. Sane,,Mythology,1920
12,Rama Or Maya,"Suchet Singh, Shukle","Dorothy Kingdon, Goharjaan, Kanjbhai Rathod, Samson",Mythology,1920
13,Sairandhri,Baburao Painter,"Balasabeb Yadav, Zunzharrao Pawar, Kamaladevi, Balasabeb Yadav, Keshavrao Dhaiber, Baburao Pendharkar, Ganpatrao Bakre, Ansuyabai, Gulabbai, Ravi Bhaskar",Mythology,1920
14,Shakuntala,Suchet Singh,"Dorothy Kingdon, Goharjaan, Mrs. Sutria, Samson",Mythology,1920
15,Shakuntala,Shree Nath Patankar,,Mythology drama,1920
16,Shri Krishna Leela,G. V. Sane,,Mythology,1920
17,Shri Rama Janma,G. V. Sane,,Mythology,1920
18,Sita Swayamwar a.k.a. Sita's Marriage,Shree Nath Patankar,Limaye,Mythology,1920
19,The Enchanted Pills a.k.a. Vichitra Gutika,S. N. Patankar,"Trymbakrao Pradhan, Marathe, Sitarampant Joshi, K. G. Gokhale, Damuanna Joshi, Dighe",Social,1920
20,Vikram Urvashi,Kanjibhai Rathod,"R. N. Vaidya, Lina Valentine",Mythology,1920
21,Behula,C. Legrand,Patience Cooper,Mythology,1921
22,Belgian Emperor's Visit To India,Nitin Bose,,Documentary,1921
23,Bhakta Vidur,Kanjibhai Rathod,"Dwarkadas Sampat, Sakina, Maneklal Patel, Homi Master, Prabhashankar, Gangaram",Devotional,1921
24,Bilet Pherat a.k.a. England Returned,Dhirendranath Ganguly,"Dhirendranath Ganguly, Manmatha Pal, Sushilabala, Kunjalal Chakraborty",Social Comedy,1921
25,Chandrahasa,Kanjibhai Rathod,"Khalil, Tara, Moti, Savita, Dhanji",Devotional,1921
26,Dabbur Kelenkari,Debi Ghosh,Chani Datta,,1921
27,Dhruva Charitra a.k.a. The Story Of Dhruva,Jyotish Bannerjee,"Patience Cooper, M. Manilal, Master Mohan, Signor P. Mannelli, Signorina F. Mannelli, James Mcgrath, Dadabhai Sarkari, Kusumkumari, Aga Hashr Kashmiri, Pestonji Madan",Mythology,1921
28,King Gopichand a.k.a. Gopichand,Vishnupant Divekar,"Hira Koregaonkar, Mama Bhatt",Legend,1921
29,Govardhan Dhari,G. V. Sane,,Mythology,1921
30,Jagat Janani Jagadamba a.k.a. Ma Durga a.k.a. Mother Durga,Jyotish Bannerjee,,Mythology,1921
31,Krishna Kumar a.k.a. Pradyumna,Vishnupant Divekar,,Mythology,1921
32,Krishna Maya,Kanjibhai Rathod,Jamna,Mythology,1921
33,Mahasati Ansuya a.k.a. Sati Ansuya a.k.a. Birth Of Shri Dattatreya,Kanjibhai Rathod,"Khalil, Vaidya, Sakina",Devotional,1921
34,Meerabai a.k.a. Mira Bai,Sisir Kumar Bhaduri,"Patience Cooper, S. K. Bhaduri",Devotional,1921
35,Mohini,Sisir Kumar Bhaduri,"Patience Cooper, S. K. Bhaduri",Devotional,1921
36,Nal Damayanti,E. D. Liguoro,"Patience Cooper, E. D. Liguoro, D. Sarkari, K. Adajania, Albertina, Chhapgar",Mythology,1921
37,Pundalik,Ganpat Shinde,,Devotional,1921
38,Pundalik,Kanjibhai Rathod,,Devotional,1921
39,Ratnakar,S. N. Ray,"Chunilal Dev, Shosha Mukhi, Sushila Debi",Mythology,1921
40,Rukmini Haran,Kanjibhai Rathod,"Khalil, Tara, Moti, Sakina, R. N. Vaidya, Gangaram",Mythology,1921
41,Rukmini Satyabhama a.k.a. Rukmini Kalyanam a.k.a. Rukmani Sathyabhama a.k.a. The Wedding Of Rukmani,R. Nataraja Mudaliar,,Mythology,1921
42,Sant Tukaram a.k.a. Tukaram,Ganpat Shinde,,Devotional,1921
43,Sati Madalsa,S. N. Patankar,,Mythology,1921
44,Sati Sulochana,G. V. Sane,,Mythology,1921
45,Salaam Aleikum,,,Social,1921
46,Shani Prabhav,G. V. Sane,,Mythology,1921
47,Shivratri,C. Legrand,"Kusum Kumari, Prabodh Bose",Mythology,1921
48,Subhadra Haran,Kanjibhai Rathod,,Mythology,1921
49,Surekha Haran a.k.a. The Elopement Of Surekha a.k.a. Surekha Abhimanyu,Baburao Painter,"V. Shantaram, Vishnupant Pagnis, Baburao Pendharkar, Ravji Mhaskar, Balasaheb Yadav, Ganpat Bakre, Zunzharrao Pawar, G. R. Mane, Gajrabai",Mythology,1921
50,Themuras & Tehmuljee a.k.a. Aflatoon,,,Social,1921
51,Tridandi Sanyas,Vishnupant Divekar,"Soni, Limaye, Anand Shinde",Mythology,1921
52,Urvashi,Vishnupant Divekar,"Hira Koregaonkar, Limaye, Vithabai",Mythology,1921
53,Valli Thirumanam a.k.a. Valli's Wedding,Whittaker,,Mythology,1921
54,Valmiki,G. V. Sane,,Mythology,1921
55,Vikram Satva Pariksha,G. V. Sane,,Mythology,1921
56,Vishwamitra Menaka,Kanjibhai Rathod,"Ali Miyan, Jamna, Kesar, Raja Babu",Mythology,1921
57,Vishnu Avatar a.k.a. The Incarnations Of Lord Vishnu,"Jyotish Bannerjee, C. Legrand",Patience Cooper,Mythology,1921
58,Yashoda Nandan a.k.a. Yashoda's Son a.k.a. Shri Radha Krishna,"Dhirendranath Ganguly, Nitish Lahiri","Dhirendranath Ganguly, Sushiladevi, Manmatha Pal, Kunjalal Chakraborty, Pramodasundari, Amodini Dasi, Nitish Lahiri",Mythology,1921
59,Ahiravan Mahiravan Vadha,G. V. Sane,"Bhaurao Datar, Bachu Pawar, Shanta Nalgunde, Ghanshyam Singh, Sane",Mythology,1922
60,Ajamil,Kanjibhai Rathod,"Khalil, Jamna, Homi Master, Gangaram",Devotional,1922
61,Andhare Alo a.k.a. The Influence Of Love,"Naresh Mitra, Sisir Kumar Bhaduri","Durga Rani, Lila Debi, Sisir Kumar Bhaduri, Naresh Mitra, Jogesh Choudhury, Kankabati",Social Drama,1922
62,Ashoka a.k.a. Samrat Ashoka,,,Historical,1922
63,Bhakta Ambarish,Kanjibhai Rathod,"Khalil, Tara, R. N. Vaidya",Devotional,1922
64,Bhakta Shiromani a.k.a. Rajrishi Ambarish a.k.a. Bhakta Shiromani,Dadasaheb Phalke,,Devotional,1922
65,Bhartrahari a.k.a. King Bhartrahari,S. N. Patankar,"Tara Koregaonkar, Thatte",Legend,1922
66,Bhishma,Jyotish Bannerjee,"Master Mohan, Keki Adjania",Mythology,1922
67,Bhishma Bana Shayya,,Madanrai Vakil,Mythology,1922
68,Bhishma Pratigna,R. S. Prakash,,Mythology,1922
69,Bidyasundar a.k.a. The Lover's Trance,Sundar Narayan Ray,Durgarani,Legend,1922
70,Bimata a.k.a. Bijoy Basant a.k.a. Stepmother,Dhirendranath Ganguly,"Seeta Devi, Dhirendranath Ganguly, Miss Joy Billy",Social,1922
71,Bisha Briksha a.k.a. Bishabriksha a.k.a. Poison Tree,Jyotish Bannerjee,"Durgadas Bannerjee, Miss Light, Basantakumari, Manoranjan Bhattacharya, Gopalchandra Bhattacharya, Lila Debi, Kartik Dey",Social Drama,1922
72,Bodana a.k.a. Bhakta Bodhana a.k.a. Shri Ranchhodrai,S. N. Patankar,Raja Sandow,Legend Devotional,1922
73,Damaji a.k.a. Bhakta Damaji a.k.a. Bhagwata Bhakta Damaji,Baburao Painter,"Baburao Pendharkar, Sushilabai, Gulabbai, Ravji M. Haskar, N. D. Sarpotdar, Zunzharrao Pawar, Ganpat Bakre",Devotional,1922
74,Devi Todi,Kanjibhai Rathod,Jamna,Devotional,1922
75,Doom Of The Yadavas a.k.a. Yadav Vinas,,,Mythology,1922
76,Draupadi Swayamwar,Vishnupant Divekar,Kamala,Mythology,1922
77,Draupadi Veni Bandhan a.k.a. The Fall Of The Kauravas a.k.a. Veni Bandhan,Vishnupant Divekar,"S. N. Patankar, Damle, Soni",Mythology,1922
78,Gangavataran a.k.a. Bhagirathi Ganga,,"Patience Cooper, Dadibhai Sarkari",Mythology,1922
79,Hara Gouri a.k.a. Lord Shiva And Parvati,Dhirendranath Ganguly,,Religious,1922
80,Hari Talika,G. V. Sane,Bhaurao Datar,Mythology,1922
81,Indrajit a.k.a. Indrajit O Lady Teacher,Dhirendranath Ganguly,"Seeta Devi, Dhirendranath Ganguly",Social,1922
82,Jadunath,S. N. Patankar,"Tara Koregaonkar, K. G. Gokhale, Baba Vyas, Trimbakrao Pradhan, Kelkar",Legend,1922
83,Kalidas,S. N. Patankar,"Tara Koregaonkar, Baba Vyas",Biopic Devotional,1922
84,Karna a.k.a. Deserted Son Of Kunti,S. N. Patankar,Raja Sandow,Mythology,1922
85,Lady Teacher,Dhirendranath Ganguly,,Comedy,1922
86,Laila Majnu,J. J. Madan,"Patience Cooper, H. W. Waring, Miss Dot Foy, Jeanetta Sherwin",Romantic Legend,1922
87,Mahashweta Kadambari a.k.a. Shap Sambhram,S. N. Patankar,"Tara Koregaonkar, Baba Vyas, Thatte, S. N. Patankar",Mythology,1922
88,Malati Madhav,Kanjibhai Rathod,"Khalil, Tara, R. N. Vaidya, Miss Moti, Gangaram",Mythology,1922
89,Pandavas In Exile a.k.a. Pandav Vanavas,G. V. Sane,"Bhaurao Datar, Bachu Pawar, Sakharam Jadhav",Mythology,1922
90,Parikshit,,Vithaldas Panchotia,Mythology,1922
91,Parsuram,,,Mythology,1922
92,Pati Bhakti a.k.a. Pavitra Leelavati a.k.a. Husband Worship,J. J. Madan,"Patience Cooper, Master Mohan, Signorina F. Manelli, Manilal, Sayed Hussain",Social Drama,1922
93,Pitroddhar a.k.a. Ganga The Redeemer,Manilal Joshi,,Mythology,1922
94,Princess Budur a.k.a. Rajkumari Budur a.k.a. Tale Of Kamar-Al-Zaman,J. J. Madan,"Patience Cooper, Eugenio De Liguoro, Dorothy Bayley, Edna Dalies, Dadibhai Sarkari, Chapgar",Costume Fantasy,1922
95,Radha Vilas,Vishnupant Divekar,"V. Y. Datar, Soni",Mythology,1922
96,Raja Bhoj,,"Patience Cooper, Albertina",Legend,1922
97,Raja Parikshit a.k.a. Janmejaya's Serpent Sacrifice,Manilal Joshi,Miss Yakbal,Mythology,1922
98,Ramayana,Jyotish Bannerjee,"Patience Cooper, Master Bhagaban Das, Signorina F. Mannelli",Religious Epic,1922
99,Ratnavali a.k.a. The Lady From Lanka,Manilal Joshi,"Miss Yakbal, Elizer",Legend Mythology,1922
100,Ratnavali a.k.a. Ratnabali a.k.a. Sea Nymph Of Ceylon,"Jyotish Bannerjee, C. Legrand","Patience Cooper, Miss Gohar, Miss Albertina, C. Legrand, Pandit Tulsidutt Saida",Legend Mythology,1922
101,Sadhu Aur Shaitan,"Nitish Lahiri, Dhirendranath Ganguly","Dhirendranath Ganguly, Lina Valentine, Sushilabala, Manmatha Pal",Comedy,1922
102,Sant Namdev a.k.a. Saint Namdeo,Dadasaheb Phalke,,Devotional,1922
103,Sant Sakhubai,G. V. Sane,"Shanta Nalgunde, Visubhau Nirantar",Devotional,1922
104,Sati a.k.a. Kalighat a.k.a. Daksha Yagna a.k.a. Origin Of Mahakali Temple,,Patience Cooper,Mythology,1922
105,Sati Anjani a.k.a. Birth Of Hanuman,S. N. Patankar,"Tara Koregaonkar, C. C. Shah",Biopic Devotional,1922
106,Sati Toral,Kanjibhai Rathod,"Khalil, Sakina, Miss Moti, Gani Babu",Devotional,1922
107,Satya Narayan,V. S. Nirantar,"Anna Salunke, Shinde",,1922
108,Sharmista Devyani,,,Puranic Drama,1922
109,Shishupal Vadh a.k.a. The Killing Of Shishupal,G. V. Sane,"Bhaurao Datar, Bachu Pawar, Sonabai, Sane",Mythology,1922
110,Shri Ganesh Janma a.k.a. Ganesh Avatar,G. V. Sane,"Bhaurao Datar, Madhav Malasure",,1922
111,Shri Markandeya Avtar a.k.a. Shiv Mahima a.k.a. Devotion's Reward,S. N. Patankar,"Damle, C. C. Shah, Baba Vyas",Devotional,1922
112,Shri Satya Narayan,Kanjibhai Rathod,"Khalil, Sakina, Miss Moti, R. N. Vaidya, Tara Gani Babu, Raja Babu",Devotional,1922
113,Sukanya Savitri,Kanjibhai Rathod,"Sakina, Miss Moti, Jamna",Devotional,1922
114,Suryakumari,Narayan Deware,"Khalil, Tara, Miss Moti, Raja Sandow",Costume,1922
115,Tara The Dancer a.k.a. Nartaki Tara,J. J. Madan,"Patience Cooper, Miss Chandra, Prabhodh Chandra Bose",Social,1922
116,Veer Abhimanyu,Manilal Joshi,"Sultana, Fatma Begum, Madanrai Vakil",Mythology,1922
117,Virat Parva,Vishnupant Divekar,"V. Y. Datar, Soni",Mythology,1922
118,Babruwahan,Dadasaheb Phalke,"Bhaurao Datar, Sakharam Jadhav, Dada Pendse",Mythology,1923
119,Bhakta Gora Kumbhar a.k.a. Gora Kumbhar The Devout,,Devotional,,1923
120,Bhakta Sudhanva,,,Devotional,1923
121,Buddha Dev a.k.a. Lord Buddha,Dadasaheb Phalke,"Bhaurao Datar, Dada Pendse, Charubai, Anna Salunke",Biopic Religious,1923
122,Champraj Hada,,,Devotional,1923
123,Chintamoni,Dhirendranath Ganguly,,Devotional,1923
124,Durvas Shaap a.k.a. Curse Of Durvas,S. N. Patankar,"Thatte, Tara Koregaonkar",Mythology,1923
125,Gayatri Mahatmya a.k.a. Venukumar,,,Mythology,1923
126,Guru Dronacharya a.k.a. Drona The Teacher,Dadasaheb Phalke,"Bhaurao Datar, Charubai, Dada Pendse",Mythology,1923
127,Guru Machindranath a.k.a. Streeyaraj a.k.a. The Kingdom Of Women,S. N. Patankar,Trymbakrao Pradhan,Mythology,1923
128,Goswami Tulsidas,Kanjibhai Rathod,,Biopic Devotional,1923
129,Janak Videhi a.k.a. King Janak,S. N. Patankar,,Mythology,1923
130,Jara Sandha Vadha,Dadasaheb Phalke,"Bhaurao Datar, Bachu Pawar, Ghanshyam Singh",Mythology,1923
131,Kamale Kamini a.k.a. Kamale Kamani a.k.a. Maid Of The Lotus,Sisir Kumar Bhaduri,"Sisir Kumar Bhaduri, Patience Cooper, Kusumkumari, Prabodh Bose, Tulsi Bannerjee, Rabindramohan Ray, Master E. Liguoro, Basantakumari, Akshoy Chakraborty, Nripen Bose",Mythology,1923
132,Khokha Babu a.k.a. Khokababu,Chittranjan R. Goswami,"Chittaranjan Goswami, Naresh Mitra, Nagendrabala",Social Drama,1923
133,Kirat Arjuna,Manilal Joshi,,Mythology Epic,1923
134,Krishna Arjuna Yuddha,,,Mythology,1923
135,Krishna Toola,,,Mythology,1923
136,Life Of Lord Buddha,,,Biopic Religious,1923
137,Maan Bhanjan a.k.a. Honour Retained a.k.a. All For Love,Naresh Mitra,"Durgadas Bannerjee, Naresh Mitra, Indu Mukherjee, Lila Debi, Sona Debi, Tinkari Chakraborty, Tulsi Bannerjee, Neelam Rani",Social Drama,1923
138,Mahananda a.k.a. Sati Mahananda,Dadasaheb Phalke,,Devotional,1923
139,Matri Sneha a.k.a. A Mother's Love,Jyotish Bannerjee,"Patience Cooper, Tulsi Bannerjee, Miss Kumud, Niroda Sundari, Sushila Sundari Jr., Kalidas Debi, Akshoy Chakraborty, Amar Choudhury, Prabhadevi, Edwin Mayer",Social Drama,1923
140,Matsya Varah Avtar,,,Mythology,1923
141,Maya Bazar,Baburao Painter,V. Shantaram,Mythology,1923
142,Minal Devi a.k.a. The Sin Redeemed,Kanjibhai Rathod,"Khalil, Miss Moti, Tara",Social,1923
143,Noorjehan a.k.a. Light Of The World a.k.a. Nurjehan,J. J. Madan,"Patience Cooper, Dadibhai Sarkari, Manchersha Chapgar, Charles Creed, Ezra Mir, Albertini",Biopic Historical,1923
144,Raja Gopichand,,,Legend,1923
145,Raja Mayurdhwaja,,"Madanrai Vakil, Asooji",Mythology,1923
146,Samudra Madanam,R. S. Prakash,,Mythology,1923
147,Sati Narmada,"Kanjibhai Rathod, Narayan Deware",,,1923
148,Sati Veermata a.k.a. Pious Veermata,S. N. Patankar,,Historical,1923
149,Savitri a.k.a. Savitri E Satyvan Savitri Satyvan,"Giorgio Mannini, J. J. Madan","Rina De Liguoro, Angelo Ferrari, Gianna Terribili-Gonzales, Bruto Castellani, Lydianne",Mythology,1923
150,Shishupal Vadha a.k.a. The Killing Of Shishupal,G. V. Sane,"Bhaurao Datar, Sane, Bachu Pawar, Sonabai",Mythology,1923
151,Shri Balkrishna a.k.a. The Child Krishna,"Kanjibhai Rathod, Narayan Devare",,Religious,1923
152,Shri Krishna Avatar,Baburao Painter,V. Shantaram,Religious,1923
153,Shri Krishna Bhakta Peepaji,S. N. Patankar,,Devotional,1923
154,Shri Krishna Satyabhama a.k.a. Krishna Satyabhama a.k.a. Samantak Mani,S. N. Patankar,"Tarabai Koregaonkar, Thatte",Mythology,1923
155,Shuk Rambha a.k.a. Shukh Deo,Kanjibhai Rathod,"Khalil, Tara",Fantasy,1923
156,Silent Curse a.k.a. Sati Ka Shaap,Manilal Joshi,,Legend,1923
157,Sinhagad,Baburao Painter,"Baburao Painter, V. Shantaram, D. Sarpotdar, Kamaladevi, Zhunzharrao Pawar, Balasaab Yadav, Nalini, K. P. Bhave, Baburao Painter, G. R. Mane",Historical Drama,1923
158,Soul Of A Slave,Hemchandra Mukherjee,"Ahindra Chowdhury, Gokul Nag, Prafulla Ghosh, Jane Richards, Adele Willinsonworth, Hemchandra Mukherjee, Jugal Bose, Jyotish Mitra, Sudhir",Costume Drama,1923
159,The Catechist Of Kil Arni,"R. S. Prakash, Thomas Gavin Duffy",Thomas Gavin Duffy,Religion,1923
160,Vaman Avatar a.k.a. Raja Bali,S. N. Patankar,,Mythology,1923
161,Vanraj Chavdo a.k.a. Vanraj Chavda,,,Historical Legend,1923
162,Veer Bhimsen,Kanjibhai Rathod,"Miss Moti, Tara, Raja Sandow, Sakina, Savita",Mythology,1923
163,Vratrasoor Vadha,,,Mythology,1923
164,Yayati,Dhirendranath Ganguly,,Devotional,1923
165,Ashwathama,Dadasaheb Phalke,"Bhaurao Datar, Dada Pendse, Gotiram, Madhav Malusare",Mythology,1924
166,Atma Bal a.k.a. Sundar Kamdar,,"Elizer, Asooji",,1924
167,Bal Shringee or Bal Shringi,,,Mythology,1924
168,Bali Yagna,V. K. Pattani,"Nanubhai, Batukbhai Vaidya",Mythology,1924
169,Bali Yagna a.k.a. Self-surrender At The Feet of the Master,Kanjibhai Rathod,,Mythology,1924
170,Bismi Sadi a.k.a. Twentieth Century,Homi Master,"Raja Sandow, Miss Moti, Noor Mohammed Charlie",Social,1924
171,Bhakta Sudhanva,,,Devotional,1924
172,Chandan Malayagiri,Naval Gandhi,,,1924
173,Chandragupta And Mahatma Chanakya a.k.a. Chandragupta Chanakya,,"Jilloobai, Asooji",Historical,1924
174,Chandranath,Naresh Mitra,"Durgadas Bannerjee, Nirmalbala, Naresh Mitra, Jogesh Chowdhury",Social,1924
175,Datta Janma a.k.a. Sati Ansuya,G. V. Sane,"Bhaurao Datar, Bachu, Ashraben, Motiram",Devotional,1924
176,Dhruva Charitra a.k.a. The Story Of Dhruva,Jyotish Bannerjee,"Patience Cooper, Dadabhai Sarkari, Signor P. Mannelli, Signorina F. Mannelli, James Mcgrath, Master Mohan, M. Monilal, Agha Hashar Kashmiri",Mythology,1924
177,Draupadi Bhagya a.k.a. Draupadi's Fate,Raghupathy S. Prakasa,,Mythology,1924
178,Gajendra Moksham a.k.a. Gajendra's Nirvana,Raghupathy S. Prakasa,,Mythology,1924
179,Gomata a.k.a. Sacred Cow,,,Devotional,1924
180,Gul-E-Bakavali,Kanjibhai Rathod,"Zubeida, Fatma Begum, Khalil, Sultana, Noor Mohammed Charlie, Abdul Ghani, Miss Moti, Jamuna Sr.",Legend,1924
181,Ishq No Umedwar,,,,1924
182,Jayadratha Vadha,G. V. Sane,"Bhaurao Datar, Bachu Pawar",Mythology,1924
183,Kala Naag a.k.a. Triumph Of Justice a.k.a. Kalyug Ki Sati,Homi Master,"Zubeida, Fatma Begum, Khalil, Sultana, Ibrahim, Tara, Miss Moti, Savita",True-life Crime Thriller,1924
184,Kalyan Khajina a.k.a. The Treasures of Khajina,Baburao Painter,"Sultana, Master Vithal, Kamaladevi, Nalini, Zunzharrao Pawar, Baburao Painter, Chimasaheb Bhosle, K. P. Bhave",Crime Thriller,1924
185,Karan Ghelo a.k.a. Karan Waghela,S. N. Patankar,,Historical,1924
186,Kismet Ka Shikar a.k.a. Victims Of Fate,,,Social,1924
187,Krishna Kumari a.k.a. Daughter Of Shripur,Gajanan S. Devare,,Costume,1924
188,Manorama a.k.a. Hridaya Triputi,Homi Master,"Zubeida, Khalil, Sultana",Social,1924
189,Mishar Rani a.k.a. Queen Of Mishar,Jyotish Bannerjee,"Durgadas Bannerjee, Ahindra Choudhury, Krishnabhamini, Niharbala, Naserwanji",Costume,1924
190,Municipal Election a.k.a. Municipal Nivadnuk,Dadasaheb Phalke,"Bachu Pawar, Baburao Datar, Sakharam Jadhav, Shinde",Social,1924
191,Nanda Batrisi a.k.a. Nand Batrishi,,"Dolores Berry, Asooji",Devotional,1924
192,Nandanar a.k.a. Bhakta Nandan,Raghupathy S. Prakasa,,Devotional,1924
193,Narsinh Mehta,Gajanan S. Devare,,Biopic Devotional,1924
194,Navin Bharat a.k.a. New India a.k.a. Naveen Bharat,Kashinath Chatterjee,,Social,1924
195,Navi Sethani a.k.a. Kanya Vikrya Ni Kahani,Homi Master,,Social,1924
196,Paper Parinam a.k.a. Crime And Punishment,,"Probodh Chandra Bose, Nirmalendu Lahiri, Prabhadevi, Prabhavati",Social,1924
197,Patni Pratap a.k.a. Wife's Achievement,J. J. Madan,Patience Cooper,Social,1924
198,Poona Raided a.k.a. Poona Par Hallo,B. V. (Mama) Warerkar,"Dulari, Sundar Rao Nadkarni, Vishnupant Pagnis, Miss Bhawani. Krishnarao Ketkar, Vishnupant Pagnis, Miss Kaiser, Baburao Sansare, Datta Varane, Shankarrao Shinde, Pandharinath Kale",Historical,1924
199,Prithvi Vallabh a.k.a. The Lord Of Love And Power,Manilal Joshi,"P.Y. Altekar, Wagle Sandow, Fatma Begum, Zubeida, Sultana, Miss Jaina, Bhalji Pendharkar",Historical,1924
200,Prithviraj Chouhan a.k.a. Prithviraj Chauhan,,,Historical,1924
201,Ra Mandlik,Homi Master,"Raja Sandow, Miss Yakbal, Ganibabu, Rajababu",Historical,1924
202,Raja Harishchandra,"D.D. Dabke, Narayan Deware",,Mythology,1924
203,Ranakdevi,S. N. Patankar,"Tarabai Koregaonkar, C. C. Shah",Historical,1924
204,Razia Begum,"Nanubhai Desai, Bhagwati Mishra","Raja Sandow, Jilloobai",Historical,1924
205,Repentance a.k.a. Paap No Pashchatap,Naval Gandhi,"Dolores Berry, Tara",Social,1924
206,Sadevant Savlinga,,,Costume,1924
207,Sadguni Sushila a.k.a. Sushila The Virtuous a.k.a. Triumph Of Truth,Kanjibhai Rathod,Raja Sandow,True-life Thriller Drama,1924
208,Samudra Manthan a.k.a. The Churning Of The Ocean a.k.a. Ahankar Vijaya,V.K. Pattani,"Batukbhai Vaidya, Nanubai",Mythology,1924
209,Sanyasi,Naval Gandhi,,Social,1924
210,Sati Padmini a.k.a. Beauty of Rajasthan a.k.a. Siege of Chittor,Baburao Painter,"Ganpat Bakre, Balasaheb Yadav, Nalini, Zunzharrao Pawar, Dwarka, Bedi",Historical Drama,1924
211,Sati Sardarba,Nanubhai Desai,"Fatma Begum, Sultana, Mohanlala, Putli, Zubeida",Devotional,1924
212,Sati Seeta,Kanjibhai Rathod,,Religious,1924
213,Sati Sone a.k.a. Halaman Jethvo,Homi Master,"Raja Sandow, Janibabu, Rajababu, Miss Moti, Jamuna Sr.",Devotional,1924
214,Shah Jehan a.k.a. Shahjehan,"Ardeshir M. Irani, Naval Gandhi","Bhagwati Mishra, Elizer, Jilloobai",Historical,1924
215,Shaitan Pujari,,,Social,1924
216,Sharda,Dadasaheb Phalke,,Social,1924
217,Shivaji's Escape From Agra a.k.a. Shivajichi Agryahun Sutaka,Dadasaheb Phalke,"Bhaurao Datar, Jardos, Laxman Malusare",Historical,1924
218,Sita Shuddhi a.k.a. Ram Ravan Yuddha a.k.a. The Purification Of Sita,"G. V. Sane, Dadasaheb Phalke","Vasant Shinde, Chavan",Religious,1924
219,Shri Dnyaneshwar,S. N. Patankar,,Devotional,1924
220,Sita Vanvas a.k.a. Uttar Ramcharitra,V. S. Nirantar,,Religious,1924
221,Sharif Badmash a.k.a. Society Scoundrel,Kanjibhai Rathod,"Ermeline, Madanrai Vakil, Shiraz Ali Hakim, Dorothy",Social,1924
222,Sund And Upsund,G. V. Sane,,Mythology,1924
223,The Debt Of Sin a.k.a. Paap No Fej,"Ardeshir Irani, Naval Gandhi","Elizer, Bhagwati Mishra, Tara, Asooji",True-life Crime Thriller,1924
224,Turki Hoor,J. J. Madan,"Patience Cooper, Master Mohan, Master Narmada Shankar, Surajram, Sharifa, Manilal",Costume,1924
225,Usha Swapna a.k.a. Usha's Dream,Raghupathy S. Prakasa,,Mythology,1924
226,Vasant Prabha,,"Probodh Bose, M. Hussain, Kusumkumari, Prabhadevi",Social,1924
227,Veer Ahir,Homi Master,"K. B. Athavale, Jamna",Legend,1924
228,Veer Bharat,Jyotish Bannerjee,,Costume,1924
229,Veer Durgadas a.k.a. Brave Durgadas,Bhagwati Mishra,"Bhagwati Mishra, Jilloo, Asooji",Historical,1924
230,Vijaya a.k.a. Victory a.k.a. Vijay,Bhagwati Mishra,,,1924
231,Vikram Charitra a.k.a. Buddhibal,"Nanubhai Desai, Dorabsha Kohla","Tara, Asubhai, Gopalji",Legend,1924
232,Wages of Sin,,,,1924
233,Amarsinh Daggar a.k.a. Marwad's Moti,Bhagwati Prasad Mishra,Madanrai Vakil,Historical,1925
234,Anant Vrat,G. V. Sane,"Bhaurao Datar, Krishna Chauhan",Mythology,1925
235,Baap Kamai a.k.a. Fortunes And Fools,Kanjibhai Rathod,"Gulab, Gohar, Gangaram, Putlibai, Ermeline, Nandram",Social,1925
236,Bajirao Mastani,"Bhalji Pendharkar, Nanubhai B. Desai","Master Vithal, Yakub, Miss Jones, Nanasaheb Phatak, Sayani",Historical,1925
237,Bhadra Bhamini a.k.a. Test Of Chastity,Nanubhai B. Desai,"Gulab, Nandram, P. R. Joshi, Prabhudas",Costume,1925
238,Black Thief a.k.a. Kala Chor,Manilal Joshi,"Raja Sandow, Zubeida, Janibabu, Putlibai",Costume,1925
239,Chalu Zamana a.k.a. Chalti Duniya,,,,1925
240,Chandrakant a.k.a. Filial Duty,Harshadrai Sakerlal Mehta,"Ermeline, Nandram, Gulab, Haider Shah, Malika, Gangaram",Costume,1925
241,Chandrarao More,N. D. Sarpotdar,"Dwarki, P. Y. Altekar, Elizer, Baburao Pendharkar, D. N. Potdar",Historical,1925
